Algorithm,Scenario,Accuracy,Recall,Precision,F1,ROC_AUC,Threshold
Gradient Boosting,Corrected,0.7673333333333333,0.5593116164720344,0.4695562435500516,0.5105189340813464,0.7590321715399643,0.5
Gradient Boosting,Corrected (Opt. Thresh),0.7576,0.5869698832206515,0.45454545454545453,0.5123390557939914,0.7590321715399643,0.48
Hist Gradient Boosting,Corrected,0.7646666666666667,0.5175169022741242,0.4621295279912184,0.48825746593215424,0.7492285228904247,0.5
Hist Gradient Boosting,Corrected (Opt. Thresh),0.7461333333333333,0.5697602950215119,0.4350070389488503,0.49334752527940395,0.7492285228904247,0.46
Gaussian Naive Bayes,Corrected,0.38253333333333334,0.9059618930547019,0.2476478494623656,0.3889695210449927,0.7283497940582317,0.5
Gaussian Naive Bayes,Corrected (Opt. Thresh),0.7645333333333333,0.5611555009219422,0.46463104325699744,0.5083518930957683,0.7283497940582317,0.96
LDA,Corrected,0.6794666666666667,0.6508912108174555,0.36580310880829014,0.4683768244139761,0.7239900993901754,0.5
LDA,Corrected (Opt. Thresh),0.7814666666666666,0.5039950829748002,0.4963680387409201,0.5001524855138761,0.7239900993901754,0.57
QDA,Corrected,0.35706666666666664,0.9065765212046711,0.24003254678600489,0.3795676788471436,0.7187896210414018,0.5
QDA,Corrected (Opt. Thresh),0.658,0.6896127842655193,0.35260842237586426,0.46662507797878977,0.7187896210414018,0.99
MLP Classifier,Corrected,0.7436,0.5802089735709896,0.43223443223443225,0.4954080293886119,0.7329682960504621,0.5
MLP Classifier,Corrected (Opt. Thresh),0.7578666666666667,0.5562384757221881,0.4527263631815908,0.4991726420297849,0.7329682960504621,0.53
XGBoost,Corrected,0.7765333333333333,0.4757221880762139,0.48465873512836566,0.4801488833746898,0.7395409869485967,0.5
XGBoost,Corrected (Opt. Thresh),0.7525333333333334,0.5433312845728334,0.442663995993991,0.4878587196467991,0.7395409869485967,0.43
LightGBM,Corrected,0.7752,0.5027658266748617,0.4825958702064897,0.49247441300421435,0.7545530152623063,0.5
LightGBM,Corrected (Opt. Thresh),0.7501333333333333,0.5660725261216963,0.4408808042125419,0.49569429494079653,0.7545530152623063,0.44
